id_incidente;data_abertura;data_fechamento;status_incidente;area;dashboard;tipo_erro;prioridade;incidente_critico;descricao_resumida
INC0001;01/01/2026;02/01/2026;Encerrado;Financeiro;Painel de Receita;Falha de atualização;Alta;Sim;Atualização noturna falhou
INC0002;01/01/2026;03/01/2026;Encerrado;Comercial;Painel de Leads;Erro de conexão;Média;Não;Falha na conexão com banco
INC0003;02/01/2026;;Aberto;Operações;Painel Logístico;Pipeline falhou;Crítica;Sim;Pipeline interrompido
INC0004;02/01/2026;04/01/2026;Encerrado;Supply Chain;Painel Logístico;Dados inconsistentes;Alta;Sim;Valores divergentes
INC0005;03/01/2026;03/01/2026;Encerrado;TI;Painel de Vendas;Erro de autenticação;Baixa;Não;Token expirado
INC0006;03/01/2026;05/01/2026;Encerrado;Financeiro;Painel de Custos;Falha de atualização;Média;Não;Atualização parcial
INC0007;04/01/2026;;Em andamento;Operações;Painel Logístico;Pipeline falhou;Crítica;Sim;Erro no job de carga
INC0008;04/01/2026;05/01/2026;Encerrado;Comercial;Painel de Leads;Erro de conexão;Média;Não;Timeout na conexão
INC0009;05/01/2026;06/01/2026;Encerrado;Financeiro;Painel de Receita;Dados inconsistentes;Alta;Sim;Valores incorretos
INC0010;05/01/2026;07/01/2026;Encerrado;TI;Painel de Vendas;Erro de autenticação;Média;Não;Falha na autenticação API
INC0011;06/01/2026;08/01/2026;Encerrado;Operações;Painel Logístico;Pipeline falhou;Alta;Sim;Erro no pipeline ETL
INC0012;06/01/2026;07/01/2026;Encerrado;Comercial;Painel de Leads;Erro de conexão;Baixa;Não;Instabilidade rede
INC0013;07/01/2026;;Aberto;Financeiro;Painel de Receita;Falha de atualização;Alta;Sim;Atualização não executada
INC0014;07/01/2026;09/01/2026;Encerrado;Supply Chain;Painel Logístico;Dados inconsistentes;Média;Não;Dados divergentes
INC0015;08/01/2026;09/01/2026;Encerrado;TI;Painel de Custos;Erro de autenticação;Baixa;Não;Erro de token
INC0016;08/01/2026;10/01/2026;Encerrado;Financeiro;Painel de Receita;Erro de conexão;Média;Não;Fonte indisponível
INC0017;09/01/2026;10/01/2026;Encerrado;Operações;Painel Logístico;Pipeline falhou;Crítica;Sim;Pipeline travado
INC0018;09/01/2026;;Em andamento;Comercial;Painel de Leads;Erro de conexão;Média;Não;Timeout consulta
INC0019;10/01/2026;11/01/2026;Encerrado;Financeiro;Painel de Custos;Dados inconsistentes;Alta;Sim;Valores incorretos
INC0020;10/01/2026;11/01/2026;Encerrado;TI;Painel de Vendas;Erro de autenticação;Baixa;Não;Credenciais inválidas
INC0021;11/01/2026;13/01/2026;Encerrado;Operações;Painel Logístico;Pipeline falhou;Alta;Sim;Erro carga diária
INC0022;11/01/2026;12/01/2026;Encerrado;Comercial;Painel de Leads;Erro de conexão;Média;Não;Falha conexão API
INC0023;12/01/2026;;Aberto;Financeiro;Painel de Receita;Falha de atualização;Alta;Sim;Atualização não executada
INC0024;12/01/2026;14/01/2026;Encerrado;Supply Chain;Painel Logístico;Dados inconsistentes;Média;Não;Valores divergentes
INC0025;13/01/2026;14/01/2026;Encerrado;TI;Painel de Custos;Erro de autenticação;Baixa;Não;Erro credenciais
INC0026;13/01/2026;15/01/2026;Encerrado;Financeiro;Painel de Receita;Erro de conexão;Média;Não;Fonte indisponível
INC0027;14/01/2026;16/01/2026;Encerrado;Operações;Painel Logístico;Pipeline falhou;Crítica;Sim;Pipeline interrompido
INC0028;14/01/2026;;Em andamento;Comercial;Painel de Leads;Erro de conexão;Média;Não;Timeout banco
INC0029;15/01/2026;16/01/2026;Encerrado;Financeiro;Painel de Custos;Dados inconsistentes;Alta;Sim;Dados divergentes
INC0030;15/01/2026;17/01/2026;Encerrado;TI;Painel de Vendas;Erro de autenticação;Baixa;Não;Token expirado
INC0031;16/01/2026;17/01/2026;Encerrado;Financeiro;Painel de Receita;Falha de atualização;Média;Não;Atualização manual executada
INC0032;16/01/2026;18/01/2026;Encerrado;Comercial;Painel de Leads;Erro de conexão;Média;Não;Erro intermitente API
INC0033;17/01/2026;;Aberto;Operações;Painel Logístico;Pipeline falhou;Crítica;Sim;Pipeline interrompido durante carga
INC0034;17/01/2026;19/01/2026;Encerrado;Supply Chain;Painel Logístico;Dados inconsistentes;Alta;Sim;Valores inconsistentes
INC0035;18/01/2026;18/01/2026;Encerrado;TI;Painel de Vendas;Erro de autenticação;Baixa;Não;Token inválido
INC0036;18/01/2026;20/01/2026;Encerrado;Financeiro;Painel de Custos;Erro de conexão;Média;Não;Falha consulta banco
INC0037;19/01/2026;;Em andamento;Operações;Painel Logístico;Pipeline falhou;Crítica;Sim;Erro transformação dados
INC0038;19/01/2026;20/01/2026;Encerrado;Comercial;Painel de Leads;Erro de conexão;Baixa;Não;Instabilidade conexão
INC0039;20/01/2026;22/01/2026;Encerrado;Financeiro;Painel de Receita;Dados inconsistentes;Alta;Sim;Relatório divergente
INC0040;20/01/2026;21/01/2026;Encerrado;TI;Painel de Vendas;Erro de autenticação;Baixa;Não;Falha login serviço
INC0041;21/01/2026;23/01/2026;Encerrado;Operações;Painel Logístico;Pipeline falhou;Alta;Sim;Erro pipeline ingestão
INC0042;21/01/2026;22/01/2026;Encerrado;Comercial;Painel de Leads;Erro de conexão;Média;Não;API instável
INC0043;22/01/2026;;Aberto;Financeiro;Painel de Receita;Falha de atualização;Alta;Sim;Atualização automática falhou
INC0044;22/01/2026;24/01/2026;Encerrado;Supply Chain;Painel Logístico;Dados inconsistentes;Média;Não;Problema carga dados
INC0045;23/01/2026;23/01/2026;Encerrado;TI;Painel de Custos;Erro de autenticação;Baixa;Não;Token expirado
INC0046;23/01/2026;25/01/2026;Encerrado;Financeiro;Painel de Receita;Erro de conexão;Média;Não;Fonte offline
INC0047;24/01/2026;25/01/2026;Encerrado;Operações;Painel Logístico;Pipeline falhou;Crítica;Sim;Pipeline travado
INC0048;24/01/2026;;Em andamento;Comercial;Painel de Leads;Erro de conexão;Média;Não;Consulta demorando
INC0049;25/01/2026;26/01/2026;Encerrado;Financeiro;Painel de Custos;Dados inconsistentes;Alta;Sim;Dados divergentes
INC0050;25/01/2026;27/01/2026;Encerrado;TI;Painel de Vendas;Erro de autenticação;Baixa;Não;Credencial inválida
INC0051;26/01/2026;28/01/2026;Encerrado;Operações;Painel Logístico;Pipeline falhou;Alta;Sim;Erro job ETL
INC0052;26/01/2026;27/01/2026;Encerrado;Comercial;Painel de Leads;Erro de conexão;Média;Não;Falha integração CRM
INC0053;27/01/2026;;Aberto;Financeiro;Painel de Receita;Falha de atualização;Alta;Sim;Atualização falhou
INC0054;27/01/2026;29/01/2026;Encerrado;Supply Chain;Painel Logístico;Dados inconsistentes;Média;Não;Divergência de dados
INC0055;28/01/2026;29/01/2026;Encerrado;TI;Painel de Custos;Erro de autenticação;Baixa;Não;Token inválido
INC0056;28/01/2026;30/01/2026;Encerrado;Financeiro;Painel de Receita;Erro de conexão;Média;Não;Timeout conexão
INC0057;29/01/2026;30/01/2026;Encerrado;Operações;Painel Logístico;Pipeline falhou;Crítica;Sim;Pipeline interrompido
INC0058;29/01/2026;;Em andamento;Comercial;Painel de Leads;Erro de conexão;Média;Não;Erro consulta API
INC0059;30/01/2026;31/01/2026;Encerrado;Financeiro;Painel de Custos;Dados inconsistentes;Alta;Sim;Erro cálculo
INC0060;30/01/2026;01/02/2026;Encerrado;TI;Painel de Vendas;Erro de autenticação;Baixa;Não;Credencial expirada
INC0061;01/02/2026;02/02/2026;Encerrado;Operações;Painel Logístico;Pipeline falhou;Alta;Sim;Erro ingestão
INC0062;01/02/2026;03/02/2026;Encerrado;Comercial;Painel de Leads;Erro de conexão;Média;Não;Instabilidade rede
INC0063;02/02/2026;;Aberto;Financeiro;Painel de Receita;Falha de atualização;Alta;Sim;Atualização interrompida
INC0064;02/02/2026;04/02/2026;Encerrado;Supply Chain;Painel Logístico;Dados inconsistentes;Média;Não;Dados divergentes
INC0065;03/02/2026;03/02/2026;Encerrado;TI;Painel de Custos;Erro de autenticação;Baixa;Não;Token expirado
INC0066;03/02/2026;05/02/2026;Encerrado;Financeiro;Painel de Receita;Erro de conexão;Média;Não;Fonte indisponível
INC0067;04/02/2026;06/02/2026;Encerrado;Operações;Painel Logístico;Pipeline falhou;Crítica;Sim;Pipeline travado
INC0068;04/02/2026;;Em andamento;Comercial;Painel de Leads;Erro de conexão;Média;Não;Erro consulta
INC0069;05/02/2026;06/02/2026;Encerrado;Financeiro;Painel de Custos;Dados inconsistentes;Alta;Sim;Valores incorretos
INC0070;05/02/2026;07/02/2026;Encerrado;TI;Painel de Vendas;Erro de autenticação;Baixa;Não;Erro login
INC0071;06/02/2026;08/02/2026;Encerrado;Operações;Painel Logístico;Pipeline falhou;Alta;Sim;Erro pipeline
INC0072;06/02/2026;07/02/2026;Encerrado;Comercial;Painel de Leads;Erro de conexão;Média;Não;Erro integração
INC0073;07/02/2026;;Aberto;Financeiro;Painel de Receita;Falha de atualização;Alta;Sim;Atualização falhou
INC0074;07/02/2026;09/02/2026;Encerrado;Supply Chain;Painel Logístico;Dados inconsistentes;Média;Não;Divergência dados
INC0075;08/02/2026;09/02/2026;Encerrado;TI;Painel de Custos;Erro de autenticação;Baixa;Não;Token inválido
INC0076;08/02/2026;10/02/2026;Encerrado;Financeiro;Painel de Receita;Erro de conexão;Média;Não;Fonte offline
INC0077;09/02/2026;10/02/2026;Encerrado;Operações;Painel Logístico;Pipeline falhou;Crítica;Sim;Pipeline travado
